id,date,call_sum_hist,sms_sum_hist,circumplex.arousal_mean_hist,circumplex.arousal_std_hist,circumplex.valence_mean_hist,circumplex.valence_std_hist,activity_mean_hist,activity_std_hist,screen_sum_hist,screen_std_hist,appCat.builtin_sum_hist,appCat.builtin_std_hist,appCat.communication_sum_hist,appCat.communication_std_hist,appCat.entertainment_sum_hist,appCat.entertainment_std_hist,appCat.finance_sum_hist,appCat.finance_std_hist,appCat.game_sum_hist,appCat.game_std_hist,appCat.office_sum_hist,appCat.office_std_hist,appCat.other_sum_hist,appCat.other_std_hist,appCat.social_sum_hist,appCat.social_std_hist,appCat.travel_sum_hist,appCat.travel_std_hist,appCat.unknown_sum_hist,appCat.unknown_std_hist,appCat.utilities_sum_hist,appCat.utilities_std_hist,appCat.weather_sum_hist,appCat.weather_std_hist,call_t,sms_t,circumplex.arousal_t,circumplex.valence_t,activity_t,screen_t,appCat.builtin_t,appCat.communication_t,appCat.entertainment_t,appCat.finance_t,appCat.game_t,appCat.office_t,appCat.other_t,appCat.social_t,appCat.travel_t,appCat.unknown_t,appCat.utilities_t,appCat.weather_t,mood_output
AS14.19,2014-02-23,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.31,2014-05-13,5.0,5.0,0.8133333333333332,0.27243755655603397,1.0,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,1.0,1.0,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.01,2014-03-30,5.0,5.0,0.020000000000000007,0.4266145801540308,0.7,0.2,0.1054977910009824,0.03254810957713248,577.9320375970333,38.803425853022695,131.0346544435063,31.387646214336616,232.02449912479918,16.14712509419253,453.36599350649334,19.72757925046336,64.06989523809526,3.984297185994291,407.87981666666667,7.929909486246076,116.27862380952378,4.105620988013311,117.39733333333334,7.929898103205502,352.356076976537,34.84188858407296,234.00419824561405,20.893631372274466,148.55758958333334,1.9264070353307228,124.28354393939394,3.464803727870007,96.06233333333334,0.0,1.0,1.0,-0.5,0.75,0.04037938252223971,157.38759262473502,7.953603773584906,52.97321904761905,171.43739999999997,18.822333333333344,78.0296,25.09181428571428,13.926699999999999,53.11393333333336,40.0536,50.8044,13.921199999999999,19.212466666666668,1
AS14.14,2014-03-18,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.25,2014-03-04,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.27,2014-05-05,5.0,5.0,0.32,0.9444575162494075,0.4800000000000001,0.30331501776206204,0.09943013297272928,0.014413357618020256,261.87686011452865,14.631942910644645,42.548561142661626,4.141038821582387,273.52901463030537,11.09711566193561,575.2084253913895,83.9570268391353,94.11166666666672,0.0,233.9464488888889,19.918006153164164,125.45907142857139,0.0,63.84251999999999,0.8354059974859865,309.3906264285712,17.167501626742848,298.56415000000004,29.59175158810306,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.6666666666666666,0.16249936043882815,62.24077318378325,6.97208187134503,48.37707169811325,53.72814179712981,18.822333333333344,39.39490000000001,25.09181428571428,8.1964,39.230973333333274,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.33,2014-04-20,5.0,5.0,-0.21333333333333332,0.4699881795203884,0.8666666666666666,0.3858612300930075,0.11270356264017663,0.08553195640352901,687.986911366055,62.63642381228712,62.981593964761565,4.488067489913722,329.6570070202092,48.312986053314546,534.7823933122812,60.83625961591429,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,91.97297880952381,5.754312422813843,508.7240237056006,35.15682158967635,200.26800000000003,0.0,133.34313333333336,8.730518718470028,44.73090745098039,2.8364793629357026,96.06233333333334,0.0,1.0,1.0,0.0,1.2,0.03278339257741393,213.78987198638922,4.429647368421064,70.87,141.4614,18.822333333333344,78.0296,25.09181428571428,13.385679999999999,80.88256595744681,40.0536,30.573033333333335,5.859599999999998,19.212466666666668,1
AS14.12,2014-04-20,5.0,5.0,-0.12,0.46043457732885357,0.7999999999999999,0.2449489742783178,0.13878140973233843,0.04449043953066299,283.0572994616869,7.75231737983751,171.63481760893234,58.240246079430435,205.11023921568642,3.620038440464583,361.19342000000006,34.241493170212074,69.73460000000003,5.000230681211956,390.148,0.0,148.4647928571428,8.488672689766627,54.54516666666666,0.6546868022361705,304.5729305780885,8.560282850903322,152.96956217948718,6.210282180744703,152.86516666666668,0.0,32.778800000000004,3.521341873206861,96.06233333333334,0.0,1.0,1.0,0.4,1.0,0.20755133200625828,87.45566627840668,14.2578299270073,48.63166250000003,66.99978947368425,18.822333333333344,92.42032,24.867199999999986,11.232199999999999,62.0728189189189,17.453384000000007,30.573033333333335,2.982133333333333,19.212466666666668,1
AS14.28,2014-03-06,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.32,2014-04-29,5.0,5.0,-0.05,0.2738612787525831,0.51,0.403732584763727,0.0981812864408698,0.05295934189244974,646.584783640295,35.41093565153218,190.41135854856898,20.827631778689046,280.67392109311356,16.929093198510582,114.5114161813253,28.9302477046442,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,65.71570277777778,7.053630083128307,403.4723484848485,26.833783758994933,232.15500000000003,6.828152724932271,152.86516666666668,0.0,93.95891428571429,18.831678960313827,96.06233333333334,0.0,1.0,1.0,1.0,0.6666666666666666,0.11021874944747034,54.72331303720891,13.19448888888889,56.61683000000003,7.843412698412698,18.822333333333344,78.0296,25.09181428571428,20.530920000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.20,2014-03-13,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.17,2014-03-10,5.0,5.0,0.6233333333333333,0.16898389140848769,0.9766666666666666,0.22961320132392696,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.29,2014-05-04,5.0,5.0,0.2,0.5291502622129182,0.64,0.3286335345030997,0.2116612070819838,0.09608539377868086,301.34717197216503,26.041006606780034,107.24146889412249,9.481967125230847,186.44105241750952,17.458853797990585,285.0410335942596,12.047667008914077,104.84953333333338,4.8021199599991435,390.148,0.0,184.29299762501444,58.056335048536425,51.211745000000086,2.0318306108790125,288.0469375071694,43.62793640641214,209.70393333333328,3.5994468261417856,152.86516666666668,0.0,42.65310000000001,4.112978716453564,96.06233333333334,0.0,1.0,1.0,-1.0,1.0,0.35952828283961163,34.5270240967532,14.683183999999988,33.979533333333364,53.72814179712981,18.822333333333344,78.0296,59.44355959595959,9.380000000000022,109.68855000000019,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.13,2014-04-03,5.0,5.0,-1.26,0.4449719092257398,0.8800000000000001,0.17888543819998318,0.31118443474406515,0.10044383356448475,256.5062628910728,15.256142531121073,81.41028835913669,9.296320258079604,211.1355057242466,19.16755506556637,340.44373853323134,25.400033891768107,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,171.3257316883117,51.098435995460896,370.9097691137566,80.88086147319197,200.26800000000003,0.0,149.50823333333332,1.501266225853659,64.53900000000002,5.674693313298966,96.06233333333334,0.0,1.0,1.0,-0.8,1.4,0.3084105896472634,54.18544952097391,19.060762962962965,50.99349349593496,109.96899999999997,18.822333333333344,78.0296,25.09181428571428,11.376830769230768,18.164533333333335,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
